Burkholderia vietnamiensis G4	1:CP000614.1	2:CP000615.1	3:CP000616.1					
Vibrio cholerae	1:CP007653.1	2:CP007654.1	3:CP007655.1					
Brucella suis	1:CP009096.1	2:CP009097.1						
Brucella abortus	1:CP009098.1	2:CP009099.1						
Burkholderia pseudomallei	1:CP012094.1	2:CP012093.1						
Vibrio cholerae	1:CP013307.1	2:CP013308.1						
Burkholderia cenocepacia	1:CP013397.1	2:CP013396.1						
Clostridium butyricum	1:CP016332.1	2:CP016333.1						
Brucella suis	1:CP017012.1	2:CP017013.1						
Leptospira interrogans serovar Copenhageni/Icterohaemorrhagiae	1:CP018146.1	2:CP018147.1						
Ochrobactrum pituitosum	1:CP018779.1	2:CP018782.1	3:CP018780.1					
Brucella vulpis	1:LN998033.1	2:LN998034.1						
Deinococcus radiodurans R1	1:NC_001263.1/AE000513.1	2:NC_001264.1/AE001825.1						
Vibrio parahaemolyticus RIMD 2210633	1:NC_004603.1/BA000031.2	2:NC_004605.1/BA000032.2						
Burkholderia mallei ATCC 23344	1:NC_006348.1/CP000010.1	2:NC_006349.2/CP000011.2						
Burkholderia pseudomallei K96243	1:NC_006350.1/BX571965.1	2:NC_006351.1/BX571966.1						
Photobacterium profundum SS9	1:NC_006370.1/CR354531.1	2:NC_006371.1/CR354532.1						
Ralstonia eutropha JMP134	1:NC_007347.1/CP000090.1	2:NC_007348.1/CP000091.1						
Rhodobacter sphaeroides 2.4.1	1:NC_007493.2/CP000143.2	2:NC_007494.2/CP000144.2						
Burkholderia lata	1:NC_007510.1/CP000151.1	2:NC_007511.1/CP000152.1	3:NC_007509.1/CP000150.1					
Paraburkholderia xenovorans LB400	1:NC_007951.1/CP000270.1	2:NC_007952.1/CP000271.1	3:NC_007953.1/CP000272.1					
Burkholderia cenocepacia AU 1054	1:NC_008060.1/CP000378.1	2:NC_008061.1/CP000379.1	3:NC_008062.1/CP000380.1					
Ralstonia eutropha H16	1:NC_008313.1/AM260479.1	2:NC_008314.1/AM260480.1						
Burkholderia ambifaria AMMD	1:NC_008390.1/CP000440.1	2:NC_008391.1/CP000441.1	3:NC_008392.1/CP000442.1					
Leptospira borgpetersenii serovar Hardjo-bovis str. L550	1:NC_008508.1/CP000348.1	2:NC_008509.1/CP000349.1						
Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	1:NC_008510.1/CP000350.1	2:NC_008511.1/CP000351.1						
Burkholderia cenocepacia HI2424	1:NC_008542.1/CP000458.1	2:NC_008543.1/CP000459.1	3:NC_008544.1/CP000460.1					
Paracoccus denitrificans PD1222	1:NC_008686.1/CP000489.1	2:NC_008687.1/CP000490.1						
Rhodobacter sphaeroides ATCC 17029	1:NC_009049.1/CP000577.1	2:NC_009050.1/CP000578.1						
Vibrio cholerae O395	1:NC_009456.1/CP000626.1	2:NC_009457.1/CP000627.1						
Ochrobactrum anthropi ATCC 49188	1:NC_009667.1/CP000758.1	2:NC_009668.1/CP000759.1						
Burkholderia multivorans ATCC 17616	1:NC_010084.1/CP000868.1	2:NC_010086.1/CP000869.1	3:NC_010087.1/CP000870.1					
Burkholderia cenocepacia MC0-3	1:NC_010508.1/CP000958.1	2:NC_010515.1/CP000959.1	3:NC_010512.1/CP000960.1					
Cupriavidus taiwanensis LMG 19424	1:NC_010528.1/CU633749.1	2:NC_010530.1/CU633750.1						
Burkholderia ambifaria MC40-6	1:NC_010551.1/CP001025.1	2:NC_010552.1/CP001026.1	3:NC_010557.1/CP001027.1					
Paraburkholderia phymatum STM815	1:NC_010622.1/CP001043.1	2:NC_010623.1/CP001044.1						
Paraburkholderia phytofirmans PsJN	1:NC_010681.1/CP001052.1	2:NC_010676.1/CP001053.1						
Ralstonia pickettii 12J	1:NC_010682.1/CP001068.1	2:NC_010678.1/CP001069.1						
Brucella abortus S19	1:NC_010742.1/CP000887.1	2:NC_010740.1/CP000888.1						
Burkholderia multivorans ATCC 17616	1:NC_010804.1/AP009385.1	2:NC_010805.1/AP009386.1	3:NC_010801.1/AP009387.1					
Burkholderia cenocepacia J2315	1:NC_011000.1/AM747720.1	2:NC_011001.1/AM747721.1	3:NC_011002.1/AM747722.1					
Aliivibrio salmonicida LFI1238	1:NC_011312.1/FM178379.1	2:NC_011313.1/FM178380.1						
Vibrio tasmaniensis LGP32	1:NC_011753.2/FM954972.2	2:NC_011744.2/FM954973.2						
Rhodobacter sphaeroides KD131	1:NC_011963.1/CP001150.1	2:NC_011958.1/CP001151.1						
Agrobacterium radiobacter K84	1:NC_011985.1/CP000628.1	2:NC_011983.1/CP000629.1						
Agrobacterium vitis S4	1:NC_011989.1/CP000633.1	2:NC_011988.1/CP000634.1						
Halorubrum lacusprofundi ATCC 49239	1:NC_012029.1/CP001365.1	2:NC_012028.1/CP001366.1						
Vibrio cholerae MJ-1236	1:NC_012668.1/CP001485.1	2:NC_012667.1/CP001486.1						
Burkholderia glumae BGR1	1:NC_012724.2/CP001503.2	2:NC_012721.2/CP001504.2						
Variovorax paradoxus S110	1:NC_012791.1/CP001635.1	2:NC_012792.1/CP001636.1						
Ralstonia pickettii 12D	1:NC_012856.1/CP001644.1	2:NC_012857.1/CP001645.1						
Brucella microti CCM 4915	1:NC_013119.1/CP001578.1	2:NC_013118.1/CP001579.1						
Vibrio antiquarius	1:NC_013456.1/CP001805.1	2:NC_013457.1/CP001806.1						
Sphaerobacter thermophilus DSM 20745	1:NC_013523.1/CP001823.1	2:NC_013524.1/CP001824.1						
Thermobaculum terrenum ATCC BAA-798	1:NC_013525.1/CP001825.1	2:NC_013526.1/CP001826.1						
Sphingobium japonicum UT26S	1:NC_014006.1/AP010803.1	2:NC_014013.1/AP010804.1						
Burkholderia sp. CCGE1002	1:NC_014117.1/CP002013.1	2:NC_014118.1/CP002014.1	3:NC_014119.1/CP002015.1					
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	1:NC_014210.1/CP002040.1	2:NC_014211.1/CP002041.1						
Butyrivibrio proteoclasticus B316	1:NC_014387.1/CP001810.1	2:NC_014388.1/CP001811.1						
Burkholderia sp. CCGE1003	1:NC_014539.1/CP002217.1	2:NC_014540.1/CP002218.1						
Asticcacaulis excentricus CB 48	1:NC_014816.1/CP002395.1	2:NC_014817.1/CP002396.1						
Burkholderia sp. CCGE1001	1:NC_015136.1/CP002519.1	2:NC_015137.1/CP002520.1						
Burkholderia gladioli BSR3	1:NC_015381.1/CP002599.1	2:NC_015376.1/CP002600.1						
Sinorhizobium meliloti AK83	1:NC_015590.1/CP002781.1	2:NC_015596.1/CP002782.1	3:NC_015591.1/CP002783.1					
Sphingobium chlorophenolicum L-1	1:NC_015593.1/CP002798.1	2:NC_015594.1/CP002799.1						
Cupriavidus necator N-1	1:NC_015726.1/CP002877.1	2:NC_015723.1/CP002878.1						
Brucella pinnipedialis B2/94	1:NC_015857.1/CP002078.1	2:NC_015858.1/CP002079.1						
Chloracidobacterium thermophilum B	1:NC_016024.1/CP002514.1	2:NC_016025.1/CP002515.1						
Vibrio cholerae O1 str. 2010EL-1786	1:NC_016445.1/CP003069.1	2:NC_016446.1/CP003070.1						
Burkholderia sp. YI23	1:NC_016589.1/CP003087.1	2:NC_016625.1/CP003088.1	3:NC_016590.1/CP003089.1					
Vibrio furnissii NCTC 11218	1:NC_016602.1/CP002377.1	2:NC_016628.1/CP002378.1						
Vibrio sp. EJY3	1:NC_016613.1/CP003241.1	2:NC_016614.1/CP003242.1						
Brucella canis HSK A52141	1:NC_016778.1/CP003174.1	2:NC_016796.1/CP003175.1						
Brucella abortus A13334	1:NC_016795.1/CP003176.1	2:NC_016777.1/CP003177.1						
Brucella melitensis M28	1:NC_017244.1/CP002459.1	2:NC_017245.1/CP002460.1						
Leptospira interrogans serovar Lai str. IPAV	1:NC_017551.1/CP001221.1	2:NC_017552.1/CP001222.1						
Burkholderia pseudomallei 1026b	1:NC_017831.1/CP002833.1	2:NC_017832.1/CP002834.1						
Burkholderia sp. KJ006	1:NC_017920.1/CP003514.1	2:NC_017921.1/CP003515.1	3:NC_017922.1/CP003516.1					
Burkholderia cepacia GG4	1:NC_018513.1/CP003774.1	2:NC_018514.1/CP003775.1						
Paraburkholderia phenoliruptrix BR3459a	1:NC_018695.1/CP003863.1	2:NC_018672.1/CP003864.1						
Vibrio parahaemolyticus BB22OP	1:NC_019955.1/CP003972.1	2:NC_019971.1/CP003973.1						
Prevotella dentalis DSM 3688	1:NC_019960.1/CP003368.1	2:NC_019968.1/CP003369.1						
Burkholderia thailandensis MSMB121	1:NC_021173.1/CP004095.1	2:NC_021174.1/CP004096.1						
Burkholderia sp. RPE64	1:NC_021287.1/AP013058.1	2:NC_021294.1/AP013059.1	3:NC_021288.1/AP013060.1					
Burkholderia pseudomallei MSHR305	1:NC_021877.1/CP006469.1	2:NC_021884.1/CP006470.1						
Vibrio anguillarum M3	1:NC_022223.1/CP006699.1	2:NC_022224.1/CP006700.1						
Variovorax paradoxus B4	1:NC_022247.1/CP003911.1	2:NC_022234.1/CP003912.1						
Vibrio alginolyticus NBRC 15630 = ATCC 17749	1:NC_022349.1/CP006718.1	2:NC_022359.1/CP006719.1						
Vibrio nigripulchritudo	1:NC_022528.1/FO203526.1	2:NC_022543.1/FO203527.1						
Haloarcula hispanica N601	1:NC_023013.1/CP006884.1	2:NC_023010.2/CP006885.2						
Rhodobacter sphaeroides 2.4.1	1:NZ_AKBU01000001.1/AKBU01000001.1	2:NZ_AKBU01000002.1/AKBU01000002.1						
Vibrio cholerae H1	1:NZ_AKGH01000001.1/AKGH01000001.1	2:NZ_AKGH01000002.1/AKGH01000002.1						
Rhodobacter sphaeroides 2.4.1	1:NZ_AKVW01000001.1/AKVW01000001.1	2:NZ_AKVW01000002.1/AKVW01000002.1						
Vibrio cholerae MS6	1:NZ_AP014524.1/AP014524.1	2:NZ_AP014525.1/AP014525.1						
Burkholderia sp. RPE67	1:NZ_AP014576.1/AP014576.1	2:NZ_AP014577.1/AP014577.1	3:NZ_AP014578.1/AP014578.1					
Prevotella intermedia	1:NZ_AP014926.1/AP014926.1	2:NZ_AP014925.1/AP014925.1						
Burkholderia thailandensis E264	1:NZ_CM000438.1/CM000438.1	2:NZ_CM000439.1/CM000439.1						
Agrobacterium tumefaciens WRT31	1:NZ_CM002024.1/CM002024.1	2:NZ_CM002025.1/CM002025.1						
Agrobacterium tumefaciens P4	1:NZ_CM002258.1/CM002258.1	2:NZ_CM002259.1/CM002259.1						
Burkholderia dolosa PC543	1:NZ_CM002277.1/CM002277.1	2:NZ_CM002278.1/CM002278.1	3:NZ_CM002279.1/CM002279.1					
Burkholderia pseudomallei MSHR435	1:NZ_CM003019.1/CM003019.1	2:NZ_CM003020.1/CM003020.1						
Burkholderia humptydooensis	1:NZ_CM003626.1/CM003626.1	2:NZ_CM003627.1/CM003627.1						
Burkholderia ubonensis	1:NZ_CM003771.1/CM003771.1	2:NZ_CM003772.1/CM003772.1						
